PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9340RB,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"0,1,2",,9,,,,"B,J,N",N1,"HD,HD2","GS,UN"
F9340RA,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"3,4,5",,9,,,,"B,J,N",N1,"HD,HD2","GS,UN"
F9340VC,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"0,1,2",,9,,,,N,HD,"N2,N3","HD2,UN"
F9340VD,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"3,4,5",,9,,,,N,HD,"N2,N3","HD2,UN"
F9340RB,FLANGE,1,,EJA110E,,"H,M",S,0,,8,,,,,GS,"HD,HD2",UN
F9340RB,FLANGE,1,,EJA110E,,"H,M",S,0,,9,,,,,GS,"HD,HD2","N1,UN"
F9340RB,FLANGE,1,,EJA110E,,"H,M",S,0,,9,,,,"B,J,N","GS,N1","HD,HD2",UN
F9340RA,FLANGE,1,,EJA110E,,"H,M",S,5,,8,,,,,GS,"HD,HD2",UN
F9340RA,FLANGE,1,,EJA110E,,"H,M",S,5,,9,,,,,GS,"HD,HD2","N1,UN"
F9340RA,FLANGE,1,,EJA110E,,"H,M",S,5,,9,,,,"B,J,N","GS,N1","HD,HD2",UN
F9900TN,FLANGE,1,,"EJA110E,EJA110J",,,S,"P,Q,R",,9,,,,,,,
F9340RB,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,"2,3,6,7,8,9",,,,,UN,,"GS,HD,HD2,MG1,MH1,N1,N2,N3,U1"
F9340RA,FLANGE,1,,"EJA110E,EJA110J",,F,S,"3,4,5",,"2,3,6,7,8,9",,,,,UN,,"GS,HD,HD2,MG1,MH1,N1,N2,N3,U1"
F9900TK,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,"2,3,6,7,8,9",,,,,UN,,"GS,HD,HD2,MG1,MH1,N1,N2,N3,U1"
F9900TL,Flange for option /U1,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,"2,3,6,7,8,9",,,,,UN,,"GS,HD,HD2,MG1,MH1,N1,N2,N3,U1"
F9900TK,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,"2,3,6,7,8,9",,,,,UN,,"GS,MG1,MH1,N1,N2,N3,U1"
F9900TL,Flange for option /U1,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,"2,3,6,7,8,9",,,,,UN,,"GS,MG1,MH1,N1,N2,N3,U1"
F9903AA,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,B,,,,,UN,,"HD,HD2,MG1,MH1"
F9903AB,FLANGE,1,,"EJA110E,EJA110J",,F,S,"3,4,5",,B,,,,,UN,,"HD,HD2,MG1,MH1"
F9903AC,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,B,,,,,UN,,"HD,HD2,MG1,MH1"
F9903AD,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,B,,,,,UN,,"HD,HD2,MG1,MH1"
F9903AC,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,B,,,,,UN,,"MG1,MH1"
F9903AD,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,B,,,,,UN,,"MG1,MH1"
F9903AE,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"0,1,2",,"2,3,6,7,8,9",,,,,UN,,"MG1,MH1,N1,N2,N3"
F9903AF,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"3,4,5",,"2,3,6,7,8,9",,,,,UN,,"MG1,MH1,N1,N2,N3"
F9903AG,FLANGE,1,,"EJA110E,EJA110J",,"H,L,M,V","H,M,T","0,1,2",,"2,3,6,7,8,9",,,,,UN,,"MG1,MH1,N1,N2,N3"
F9903AE,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"0,1,2",,"2,3,6,7,8,9",,,,,UN,,"MG1,MH1,N1,N2,N3"
F9903AF,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"3,4,5",,"2,3,6,7,8,9",,,,,UN,,"MG1,MH1,N1,N2,N3"
F9903AG,FLANGE,1,,"EJA430E,EJA430J",,,"H,M,T","0,1,2",,"2,3,6,7,8,9",,,,,UN,,"MG1,MH1,N1,N2,N3"
