PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9910LS,Terminal Block,1,,,,,,,2,,,,,,
Y9308JY,Terminal Block holding Screw,2,,,,,,,,,,,,,
R1200BA,LOCTITE 222  49591,0,,,,,,,,,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,HE,SF2,SS26,SU21"
F9341JX,SILICONE RUBBER,0,,,,,,,,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9341JX,SILICONE RUBBER,0,,,,,,,,,,,,"SF2,SS26,SU21",HE
A1462CC,Feedthrough Capacitor for Hart & Brain,2,,,"D,J,Q",,,,,,,,,,HE
F9342YC,Feedthrough Capacitor when /HE,2,,,"D,J,Q",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9342YB,Feedthrough Capacitor for FF & Profi bus,2,,,"F,G",,,,,,,,,,HE
F9342YC,Feedthrough Capacitor when /HE,2,,,"F,G",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9913ME,Capacitor for /HE option,2,,"EJA510E,EJA530E",,,,,,,,,HE,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1"
Y9501WL,Washer for feed through capcitor,3,,,,,,,,,,,,,
F9341JW,Ext. Gr. Screw washer for  case 1 or 2 or 3 with Cert.,1,,,,,,,,,,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,JF5,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PF23,PS21,SF2,SF22,SS26,SU21,SU22,UF1,US1",
G9303NC,O-Ring for zero adjust screw,1,,,,,,,,,,,,,HE
F9900GV,O-Ring for zero adjust screw when /HE,1,,,,,,,,,,,HE,,
F9270BJ,Shaft - Zero adjust Screw,1,,,,,,,"1,3",,,,,,HC
F9900RL,Shaft - Zero adjust Screw for Case-2 or when /HC option,1,,,,,,,"1,3",,,,HC,,
F9900RL,Shaft - Zero adjust Screw for Case-2 or when /HC option,1,,,,,,,2,,,,,,
Y9812PS,Pin for Zero adjust screw,1,,,,,,,,,,,,,
F9270BK,Collar for zero adjust screw,1,,,,,,,,,,,,,
F9900GZ,"Screw for fixing zero screw cover, Ext. Gr., Int. Gr. & Back board for Case 1 or 2 or Int. Gr. & Back board for Case 3",1,,,,,,,"1,2",,,,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,JF5,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PF23,PS21,SF2,SF22,SS26,SU21,SU22,UF1,US1"
F9341JZ,Ext. Gr. Screw & clamp for  case 1 or 2 with Cert.,1,,,,,,,"1,2",,,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,JF5,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PF23,PS21,SF2,SF22,SS26,SU21,SU22,UF1,US1",
F9913MC,Ext. Gr. Screw for Case 3,1,,,,,,,3,,,,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PF23,PS21,SF2,SF22,SS26,SU21,SU22,UF1,US1"
F9913MD,Ext. Gr. Screw & clamp for  Case 3 with Cert.,1,,,,,,,3,,,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PF23,PS21,SF2,SF22,SS26,SU21,SU22,UF1,US1",
A1462CC,Feedthrough Capacitor for Hart & Brain,1,,,"D,J,Q",,,,,,,,,,HE
F9342YC,Feedthrough Capacitor when /HE,1,,,"D,J,Q",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9342YB,Feedthrough Capacitor for FF & Profi bus,1,,,"F,G",,,,,,,,,,HE
F9342YC,Feedthrough Capacitor when /HE,1,,,"F,G",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9913ME,Capacitor for /HE option,1,,"EJA510E,EJA530E",,,,,,,,,HE,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1"
F9900GZ,"Screw for fixing zero screw cover, Ext. Gr., Int. Gr. & Back board for Case 1 or 2 or Int. Gr. & Back board for Case 3",1,,,,,,,"1,2",,,,,,
F9913MA,Screw for fixing zero screw cover for Case 3,1,,,,,,,3,,,,,,
F9913VK,COVER,1,,,,,,,1,,N,,P1,,X2
F9913VL,COVER,1,,,,,,,1,,N,,P2,,X2
F9913VM,COVER,1,,,,,,,1,,N,,P7,,X2
F9913VP,COVER,1,,,,,,,1,,N,,PR,,X2
F9913JT,METER COVER,1,,,,,,,1,,"D,E",,P1,,"HE,X2"
F9913JU,METER COVER,1,,,,,,,1,,"D,E",,P2,,"HE,X2"
F9913JV,METER COVER,1,,,,,,,1,,"D,E",,P7,,"HE,X2"
F9913JX,Meter cover assembly  for PR option (Red colour),1,,,,,,,1,,"D,E",,PR,,"HE,X2"
