Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24915,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24916,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24938,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24939,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24940,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24941,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24942,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24943,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24944,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24945,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24946,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24947,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29047,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29049,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29055,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29056,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29063,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29064,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29065,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29066,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB29071,"11,508.82"
